ram_available_bytes,disk_free_gb,batch_size,buffer_size,cpu_cores,cpu_threads,cpu_frequency_khz,ram_total_bytes,gpu_count,gpu_0_name,total_duration
54.14774527405215,92.79614767255218,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0
81.08476783891292,92.62921348314607,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0
62.06920829373041,92.17977528089888,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0
68.56320625198013,91.28089887640448,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0
60.09082268454957,91.05617977528088,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0
67.36895835533491,90.90850722311396,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0
88.66036540289363,90.98555377207065,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0
87.1466539937339,91.1011235955056,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0
51.61227866370961,90.45906902086678,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0
64.91005738022318,90.42054574638844,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0
81.76329777871652,89.02086677367575,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0
51.35265955574329,89.37399678972713,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0
53.15327208082512,88.892455858748,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0
24.910233393177705,88.88603531300161,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0
44.56560002816205,88.67415730337078,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0
33.95905938677086,88.19261637239167,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0
53.60650543880027,85.43178170144463,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0
55.702819727531946,82.68378812199037,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0
46.567747386207614,79.82022471910113,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0
100.0,87.06902086677368,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2723.0
66.32520153483297,87.54414125200643,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0
61.427641074383075,84.62921348314607,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0
64.8933361495406,88.80898876404495,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0
62.75301862217057,86.53611556982344,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,869.0
63.14552751082476,85.36757624398075,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0
62.64037033125636,82.70304975922956,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0
93.35903122469809,88.47512038523276,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0
84.26004153905726,85.59229534510433,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0
63.6718062449396,84.07704654895667,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,731.0
65.8930897314042,88.0064205457464,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0
63.47819199493081,85.14927768860355,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0
57.51399302988701,83.51845906902086,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0
67.82747210194668,83.4991974317817,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9627.0
78.09958812968634,83.2873194221509,49.2063492063492,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12919.0
35.72622945048756,1.0401284109149256,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0
62.87446756081248,1.078651685393256,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
55.32351181046921,1.0658105939004792,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0
65.88164888935823,1.046548956661314,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0
66.5584186996163,1.0272873194221488,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0
67.85475410990247,1.0914927768860327,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0
67.95068117013412,1.0593900481540963,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0
66.18351110641743,1.0080256821829836,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
72.17499207941702,0.9887640449438184,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
68.91611222585982,0.9245585874799288,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0
68.79378322244514,0.8603531300160505,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0
69.73105220544231,0.8924558587479925,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0
70.97898405322631,0.8988764044943809,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0
68.46287886788467,0.8346709470304969,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0
69.66064702362091,0.8603531300160505,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
68.01316576900058,0.8218298555377146,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0
63.90062308585911,0.7512038523274478,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0
66.09462456436792,0.7447833065810594,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0
67.45520470306614,0.6420545746388451,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0
67.94716091104304,0.7640449438202246,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0
70.74840708276126,0.7062600321027235,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0
69.94314781567921,0.6741573033707815,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0
68.55176540993418,0.7191011235955003,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
72.68454958284929,0.6934189406099522,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0
68.9777167599535,0.616372391653286,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0
68.91963248495085,0.6548956661316163,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0
69.38782694406305,0.584269662921344,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0
70.8020910339001,0.5457463884430191,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
69.86834230999399,0.5393258426966252,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0
70.79769071003624,0.487961476725518,23.809523809523807,100.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0
36.263949026648355,0.2054574638844286,11.11111111111111,100.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0
