model_type,model_name,num_features,features,RMSE,avg_loss,inference_time,score,estimators,max_depth,alpha,min_sample_split
ensemble,random_forest,1,cpu_cores,233.71531380188978,54622.84790551581,5.75969093724301e-06,54741.84548462555,50.0,,,2.0
ensemble,random_forest,1,cpu_cores,234.26782940958606,54881.41589627891,5.7207588885638074e-06,55001.33646373471,50.0,,,5.0
ensemble,random_forest,1,cpu_cores,234.79998668040838,55131.03374511996,5.870695538849001e-06,55246.24027928013,50.0,,,10.0
ensemble,random_forest,1,cpu_cores,234.2816849031615,54887.90788106425,1.0690547515827956e-05,54926.560551766226,100.0,5.0,,2.0
ensemble,random_forest,1,cpu_cores,235.10689999696504,55275.254426182924,1.0854641274723769e-05,55312.105661678484,100.0,5.0,,5.0
ensemble,random_forest,1,cpu_cores,234.50398206609967,54992.117604857594,1.1215969296762978e-05,55026.28407654101,100.0,5.0,,10.0
ensemble,random_forest,1,cpu_cores,234.03946176949955,54774.46966535704,1.087008539320808e-05,54811.690793134265,100.0,10.0,,2.0
ensemble,random_forest,1,cpu_cores,233.80188748308504,54663.32259065315,1.0410301115831383e-05,54704.71796885063,100.0,10.0,,5.0
ensemble,random_forest,1,cpu_cores,233.750316711694,54639.21056281725,1.064904144740137e-05,54678.47651779814,100.0,10.0,,10.0
ensemble,random_forest,1,cpu_cores,234.50123151807702,54990.827583494756,1.085174550250796e-05,55027.9878296504,100.0,,,2.0
ensemble,random_forest,1,cpu_cores,234.50553857804275,54992.84762377789,1.0675746902280491e-05,55031.52503727527,100.0,,,5.0
ensemble,random_forest,1,cpu_cores,236.1468817095407,55765.349741139806,1.1288685354626613e-05,55798.168665703924,100.0,,,10.0
ensemble,random_forest,1,cpu_cores,234.12604931512683,54815.006967909205,2.6251140393708882e-05,54798.28554411529,200.0,5.0,,2.0
ensemble,random_forest,1,cpu_cores,233.9506622283314,54732.91235707481,2.387660717674595e-05,54720.06144213041,200.0,5.0,,5.0
ensemble,random_forest,1,cpu_cores,234.5408492780769,55009.40998008158,2.1745962330847777e-05,55000.38611835113,200.0,5.0,,10.0
ensemble,random_forest,1,cpu_cores,233.8934022826098,54706.12363133474,2.1056446791016944e-05,54698.908901190865,200.0,10.0,,2.0
ensemble,random_forest,1,cpu_cores,234.35683977944694,54923.12835140937,2.1189974065412554e-05,54915.39735254868,200.0,10.0,,5.0
ensemble,random_forest,1,cpu_cores,234.5062534539459,54993.18290900632,2.1805808289974485e-05,54984.049067182124,200.0,10.0,,10.0
ensemble,random_forest,1,cpu_cores,234.24472057390028,54870.589116744624,2.0318990133391056e-05,54864.93357195021,200.0,,,2.0
ensemble,random_forest,1,cpu_cores,234.27000467419086,54882.43509004541,2.0371435785744034e-05,54876.640996617556,200.0,,,5.0
