disk_free_gb,cpu_cores,batch_size,cpu_threads,ram_available_bytes,num_epoch,learning_rate,buffer_size,lambd,ram_total_bytes,total_duration
14.425496876158162,0.0,3.0303030303030303,16.666666666666675,6.168231868945691,0.0,0.02000200020002,33.333333333333336,100.0,0.034858828165063,310.0
14.382232946025534,0.0,3.0303030303030303,16.666666666666675,12.056687393825651,0.0,0.02000200020002,33.333333333333336,100.0,0.034858828165063,313.0
14.385489370874224,0.0,3.0303030303030303,16.666666666666675,12.88773971736908,0.0,0.02000200020002,33.333333333333336,100.0,0.034858828165063,307.0
14.383938692374848,0.0,3.0303030303030303,16.666666666666675,13.71529262490212,0.0,0.02000200020002,33.333333333333336,100.0,0.034858828165063,312.0
14.255077309076588,0.0,3.0303030303030303,16.666666666666675,25.40640900348624,0.0,0.02000200020002,33.333333333333336,100.0,0.034858828165063,333.0
14.221582653490032,0.0,3.0303030303030303,16.666666666666675,12.782265746045018,0.0,0.02000200020002,33.333333333333336,100.0,0.034858828165063,325.0
14.204525189996884,0.0,3.0303030303030303,16.666666666666675,21.787029866729263,0.0,0.02000200020002,33.333333333333336,100.0,0.034858828165063,318.0
26.73912470401424,20.0,3.0303030303030303,50.0,2.140679275966896,0.0,0.02000200020002,33.333333333333336,100.0,1.1099277199190016,821.0
26.712763169524823,20.0,3.0303030303030303,50.0,0.0,0.0,0.02000200020002,33.333333333333336,100.0,1.1099277199190016,822.0
26.977153853668668,20.0,3.0303030303030303,50.0,4.343325738814205,0.0,0.02000200020002,33.333333333333336,100.0,1.1099277199190016,1046.0
26.894192553951974,20.0,3.0303030303030303,50.0,4.343329228208407,0.0,0.02000200020002,33.333333333333336,100.0,1.1099277199190016,942.0
26.667018153793187,20.0,3.0303030303030303,50.0,4.343325076453271,0.0,0.02000200020002,33.333333333333336,100.0,1.1099277199190016,700.0
26.75184026770913,20.0,3.0303030303030303,50.0,4.343325738814205,0.0,0.02000200020002,33.333333333333336,100.0,1.1099277199190016,720.0
26.62375422366056,20.0,3.0303030303030303,50.0,4.3433398931794045,0.0,0.02000200020002,33.333333333333336,100.0,1.1099277199190016,702.0
26.89605336815123,20.0,3.0303030303030303,50.0,4.26960688662708,0.0,0.02000200020002,33.333333333333336,100.0,1.1099277199190016,676.0
26.59971870692021,20.0,3.0303030303030303,50.0,4.343363378194298,0.0,0.02000200020002,33.333333333333336,100.0,1.1099277199190016,805.0
100.0,100.0,3.0303030303030303,100.0,83.7445638636541,0.0,0.02000200020002,33.333333333333336,100.0,98.27532771679898,3724.0
99.26451318774528,100.0,3.0303030303030303,100.0,81.52176626928636,0.0,0.02000200020002,33.333333333333336,100.0,98.27532771679898,3086.0
99.26110169504666,100.0,3.0303030303030303,100.0,86.59525105655823,0.0,0.02000200020002,33.333333333333336,100.0,98.27532771679898,2904.0
99.26017128794705,100.0,3.0303030303030303,100.0,87.41035941164988,0.0,0.02000200020002,33.333333333333336,100.0,98.27532771679898,2855.0
99.83795409681504,100.0,3.0303030303030303,100.0,72.0438732401427,0.0,0.02000200020002,33.333333333333336,100.0,98.27532771679898,8263.0
17.173454244904857,39.99999999999999,3.0303030303030303,50.0,80.6957271540724,0.0,0.02000200020002,33.333333333333336,100.0,100.0,587.0
17.174074516304607,39.99999999999999,3.0303030303030303,50.0,78.8091094123871,0.0,0.02000200020002,33.333333333333336,100.0,100.0,609.0
17.175625194803985,39.99999999999999,3.0303030303030303,50.0,80.14130563211347,0.0,0.02000200020002,33.333333333333336,100.0,100.0,576.0
17.159343070560524,39.99999999999999,3.0303030303030303,50.0,78.16409626696849,0.0,0.02000200020002,33.333333333333336,100.0,100.0,567.0
17.160583613360025,39.99999999999999,3.0303030303030303,50.0,79.22585447187029,0.0,0.02000200020002,33.333333333333336,100.0,100.0,576.0
17.159188002710586,39.99999999999999,3.0303030303030303,50.0,79.63638708495304,0.0,0.02000200020002,33.333333333333336,100.0,100.0,836.0
17.15794745991108,39.99999999999999,3.0303030303030303,50.0,78.32272990622549,0.0,0.02000200020002,33.333333333333336,100.0,100.0,832.0
17.15686198496152,39.99999999999999,3.0303030303030303,50.0,77.89035543253863,0.0,0.02000200020002,33.333333333333336,100.0,100.0,790.0
17.15531130646214,39.99999999999999,3.0303030303030303,50.0,79.55841695069932,0.0,0.02000200020002,33.333333333333336,100.0,100.0,840.0
17.155001170762265,39.99999999999999,3.0303030303030303,50.0,77.90179734331414,0.0,0.02000200020002,33.333333333333336,100.0,100.0,826.0
17.153760627962765,39.99999999999999,3.0303030303030303,50.0,77.82227409746031,0.0,0.02000200020002,33.333333333333336,100.0,100.0,834.0
17.150814338813948,39.99999999999999,3.0303030303030303,50.0,87.67090862729903,0.0,0.02000200020002,33.333333333333336,100.0,100.0,831.0
