run_id,cpu_vendor,cpu_cores,cpu_threads,cpu_frequency_khz,cpu_architecture,ram_total_bytes,ram_available_bytes,ram_type,gpu_count,gpu_0_name,gpu_0_vendor,gpu_0_vram_gb,gpu_1_name,gpu_1_vendor,gpu_1_vram_gb,disk_total_gb,disk_free_gb,disk_filesystem,host_os_name,is_docker_used,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,shared_critic,learning_rate_schedule,beta_schedule,epsilon_schedule,checkpoint_interval,keep_checkpoints,even_checkpoints,normalize,hidden_units,num_layers,vis_encode_type,memory,goal_conditioning_type,deterministic,extrinsic_gamma,extrinsic_strength,init_path,threaded,max_steps,time_horizon,summary_freq,self_play,behavioral_cloning,time_start,time_end,total_steps,total_duration
3DBall_ppo_1767891424,Intel,10,16,2400000,x86,34048757760,19878285312,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.294,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767891430,1767892264.0,1264404,834.0
3DBall_ppo_1767892567,Intel,10,16,2400000,x86,34048757760,19845963776,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.312,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767892573,1767893202.0,1267674,629.0
3DBall_ppo_1767893505,Intel,10,16,2400000,x86,34048757760,19369431040,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.306,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767893511,1767894078.0,1264381,567.0
3DBall_ppo_1767894380,Intel,10,16,2400000,x86,34048757760,19318083584,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.301,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767894386,1767894954.0,1264458,568.0
3DBall_ppo_1767895257,Intel,10,16,2400000,x86,34048757760,19079356416,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.295,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767895263,1767895835.0,1265216,572.0
3DBall_ppo_1767896138,Intel,10,16,2400000,x86,34048757760,19472674816,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.294,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767896143,1767896908.0,1268427,765.0
3DBall_ppo_1767897211,Intel,10,16,2400000,x86,34048757760,19327139840,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.288,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767897217,1767898051.0,1265499,834.0
3DBall_ppo_1767898354,Intel,10,16,2400000,x86,34048757760,19150041088,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.29,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767898360,1767899193.0,1266682,833.0
3DBall_ppo_1767899497,Intel,10,16,2400000,x86,34048757760,19091202048,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.286,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767899502,1767900338.0,1270536,836.0
3DBall_ppo_1767900641,Intel,10,16,2400000,x86,34048757760,18668396544,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.279,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767900647,1767901487.0,1265016,840.0
